name,longitude,latitude
Aleknagik / New Airport,-158.617996216,59.2826004028
Honiara International Airport,160.054992675781,-9.42800045013428
Munda Airport,157.263000488281,-8.32796955108643
Mar de Cortés International Airport,-113.305864334,31.351621252
Nauru International Airport,166.919006,-0.547458
Buka Airport,154.673004150391,-5.4223198890686
Chimbu Airport,144.970993041992,-6.02429008483887
Daru Airport,143.207992554,-9.08675956726
Goroka Airport,145.391998291,-6.08168983459
Gurney Airport,150.333999634,-10.3114995956
Girua Airport,148.309005737,-8.80453968048
Kimbe Airport,150.404998779297,-5.46217012405396
Kerema Airport,145.770996094,-7.96361017227
Kavieng Airport,150.807998657,-2.57940006256
Madang Airport,145.789001465,-5.20707988739
Mount Hagen Kagamuga Airport,144.296005249023,-5.82678985595703
Mendi Airport,143.656997680664,-6.14773988723755
Momote Airport,147.42399597168,-2.06188988685608
Lae Nadzab Airport,146.725997925,-6.5698299408
Port Moresby Jacksons International Airport,147.220001220703,-9.44338035583496
Tokua Airport,152.380004883,-4.34045982361
Vanimo Airport,141.302001953125,-2.69717001914978
Wapenamanda Airport,143.895004272461,-5.64330005645752
Wewak International Airport,143.669006348,-3.58383011818
Benguera Island Airport,35.4383010864258,-21.8533000946045
Aasiaat Airport,-52.7846984863,68.7218017578
Narsarsuaq Airport,-45.4259986877,61.1604995728
Godthaab / Nuuk Airport,-51.6781005859,64.19090271
Kangerlussuaq Airport,-50.7116031647,67.0122218992
Thule Air Base,-68.7032012939,76.5311965942
Akureyri Airport,-18.0727005004883,65.6600036621094
Egilsstaðir Airport,-14.4013996124268,65.2833023071289
Ísafjörður Airport,-23.1352996826172,66.0580978393555
Keflavik International Airport,-22.6056003570557,63.9850006103516
Bordeaux-Mérignac (BA 106) Airport,-0.715556025505066,44.8283004760742
Bergerac-Roumanière Airport,0.518611013889313,44.8252983093262
La Rochelle-Île de Ré Airport,-1.19527995586395,46.17919921875
Poitiers-Biard Airport,0.306665986776352,46.5876998901367
Limoges Airport,1.17944002151489,45.8628005981445
Toulouse-Blagnac Airport,1.36381995677948,43.6291007995605
Pau Pyrénées Airport,-0.418610990047455,43.3800010681152
Tarbes-Lourdes-Pyrénées Airport,-0.006438999902457,43.1786994934082
Angoulême-Brie-Champniers Airport,0.221456006169319,45.7291984558105
Biarritz-Anglet-Bayonne Airport,-1.5233199596405,43.4683990478516
Castres-Mazamet Airport,2.2891800403595,43.5563011169434
Rodez-Marcillac Airport,2.48267006874084,44.407901763916
Île d'Yeu Airport,-2.39110994338989,46.7186012268066
Le Puy-Loudes Airport,3.76289010047913,45.0806999206543
Metz-Nancy-Lorraine Airport,6.25131988525,48.9821014404
Angers-Loire Airport,-0.312222003936768,47.5602989196777
Bastia-Poretta Airport,9.48373031616211,42.5527000427246
Calvi-Sainte-Catherine Airport,8.79319000244141,42.5307998657227
Figari Sud-Corse Airport,9.09778022766113,41.5005989074707
Ajaccio-Napoléon Bonaparte Airport,8.8029203414917,41.9235992431641
Chambéry-Savoie Airport,5.88022994995117,45.6380996704102
Clermont-Ferrand Auvergne Airport,3.16916990280151,45.7867012023926
Lyon Saint-Exupéry Airport,5.09082984924,45.726398468
Annecy-Haute-Savoie-Mont Blanc Airport,6.09876012802124,45.92919921875
Grenoble-Isère Airport,5.32937002182007,45.3628997802734
Aurillac Airport,2.42194008827209,44.8913993835449
Cannes-Mandelieu Airport,6.9534797668457,43.5419998168945
Saint-Étienne-Bouthéon Airport,4.29639005661011,45.540599822998
Carcassonne Airport,2.30631995201111,43.2159996032715
Marseille Provence Airport,5.22142410278,43.439271922
Nice-Côte d'Azur Airport,7.21586990356,43.6584014893
Perpignan-Rivesaltes (Llabanère) Airport,2.87067008018494,42.7403984069824
Montpellier-Méditerranée Airport,3.96301007270813,43.5761985778809
Béziers-Vias Airport,3.35389995574951,43.3235015869141
Avignon-Caumont Airport,4.90183019638062,43.907299041748
Paris Beauvais Tillé Airport,2.11278009414673,49.4543991088867
Le Havre Octeville Airport,0.0880559980869293,49.5339012145996
Rouen Airport,1.17480003833771,49.3842010498047
Tours-Val-de-Loire Airport,0.727605998516,47.4322013855
Charles de Gaulle International Airport,2.54999995232,49.0127983093
Paris-Orly Airport,2.35944008827,48.7252998352
Pontoise - Cormeilles-en-Vexin Airport,2.04082989692688,49.0965995788574
Lille-Lesquin Airport,3.08944010734558,50.5619010925293
Brest Bretagne Airport,-4.41854000091553,48.4478988647461
Cherbourg-Maupertus Airport,-1.47028005123138,49.6501007080078
Dinard-Pleurtuit-Saint-Malo Airport,-2.07996010780334,48.5876998901367
Lorient South Brittany (Bretagne Sud) Airport,-3.44000005722046,47.7606010437012
Caen-Carpiquet Airport,-0.449999988079071,49.1733016967773
Rennes-Saint-Jacques Airport,-1.73478996754,48.0694999695
Lannion-Côte de Granit Airport,-3.47165989875793,48.7543983459473
Quimper-Cornouaille Airport,-4.16778993606567,47.9749984741211
Nantes Atlantique Airport,-1.61073005199,47.1531982422
EuroAirport Basel-Mulhouse-Freiburg Airport,7.52991008759,47.5895996094
Dijon-Bourgogne Airport,5.09000015259,47.268901825
Épinal-Mirecourt Airport,6.06998014450073,48.3250007629395
Reims-Champagne (BA 112) Airport,4.05000019073486,49.310001373291
Strasbourg Airport,7.62823009490967,48.5382995605469
Toulon-Hyères Airport,6.14602994919,43.0973014832
Nîmes-Arles-Camargue Airport,4.4163498878479,43.7574005126953
St Pierre Airport,-56.1730995178223,46.7629013061523
